Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Limited
Statement,Data,BrokerAddress,"20 Fenchurch Street, Floor 12, London EC3M 3BY, UK. Authorised and regulated by the Financial Conduct Authority"
Statement,Data,Title,Realized Summary
Statement,Data,Period,"February 21, 2025 - January 28, 2026"
Statement,Data,WhenGenerated,"2026-01-29, 13:15:16 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CAESARIS DENARII LIMITED
Account Information,Data,Account Alias,Master
Account Information,Data,Account,U17419949
Account Information,Data,Accounts Included,"U17419949, U17419949F"
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,GBP
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,0.000043899,-0.004876883,-0.004832984,-0.004832984
Net Asset Value,Data,Interest Accruals,0,19.83,0,19.83,19.83
Net Asset Value,Data,Total,0,19.830043899,-0.004876883,19.825167016,19.825167016
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,28.528015695%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,19.825167016
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,HCA,0,0,-307.242959141,0,0,-307.242959141,0,0,0,0,0,-307.242959141,
Realized & Unrealized Performance Summary,Data,Stocks,HIMS,0,10620.430042402,-1056.911181702,0,0,9563.5188607,0,0,0,0,0,9563.5188607,
Realized & Unrealized Performance Summary,Data,Stocks,HOOD,0,1152.250975029,-86.505179033,0,0,1065.745795996,0,0,0,0,0,1065.745795996,
Realized & Unrealized Performance Summary,Data,Stocks,HRMY,0,0,-490.711792897,0,0,-490.711792897,0,0,0,0,0,-490.711792897,
Realized & Unrealized Performance Summary,Data,Stocks,HRTG,0,14.474415642,-3.69164921,0,0,10.782766432,0,0,0,0,0,10.782766432,
Realized & Unrealized Performance Summary,Data,Stocks,INOD,0,40.406507962,0,0,0,40.406507962,0,0,0,0,0,40.406507962,
Realized & Unrealized Performance Summary,Data,Stocks,INTC,0,518.419164217,0,0,0,518.419164217,0,0,0,0,0,518.419164217,
Realized & Unrealized Performance Summary,Data,Stocks,IONQ,0,181398.34472935,-23382.475543473,0,0,158015.869185877,0,0,0,0,0,158015.869185877,
Realized & Unrealized Performance Summary,Data,Stocks,IXHL,0,266.07229157,0,0,0,266.07229157,0,0,0,0,0,266.07229157,
Realized & Unrealized Performance Summary,Data,Stocks,JCAP,0,0,-11896.959423712,0,0,-11896.959423712,0,0,0,0,0,-11896.959423712,
Realized & Unrealized Performance Summary,Data,Stocks,JOBY,0,76.187985935,0,0,0,76.187985935,0,0,0,0,0,76.187985935,
Realized & Unrealized Performance Summary,Data,Stocks,KTOS,0,1.872579609,0,0,0,1.872579609,0,0,0,0,0,1.872579609,
Realized & Unrealized Performance Summary,Data,Stocks,LBRT,0,1004.696109096,0,0,0,1004.696109096,0,0,0,0,0,1004.696109096,
Realized & Unrealized Performance Summary,Data,Stocks,LEU,0,7.022541205,0,0,0,7.022541205,0,0,0,0,0,7.022541205,
